municipality idenitfier,monthly per capita,country
Antiguo Cuscatlán,463.2734307,el salvador
Apopa,238.9910088,el salvador
Ayutuxtepeque,266.5806306,el salvador
Ciudad Delgado,257.3175463,el salvador
Cuscatancingo,267.789447,el salvador
Ilopango,276.5215353,el salvador
Mejicanos,320.2929386,el salvador
Nejapa,205.4495074,el salvador
San Marcos,233.0226744,el salvador
San Martín,219.5703529,el salvador
San Salvador,300.4182,el salvador
Santa Tecla,356.7738144,el salvador
Soyapango,238.2536548,el salvador
Tonacatepeque,181.7738785,el salvador
