,municipality idenitfier
San Marcos,258
San Martín,255
Panchimalco,250
Ilopango,241
Apopa,228
Mejicanos,228
Ayutuxtepeque,222
Cuscatancingo,217
Ciudad Delgado,216
Tonacatepeque,214
Nejapa,203
Santo Tomás,199
Soyapango,197
San Salvador,150
Aguilares,109
Guazapa,98
El Paisnal,92
Rosario de Mora,76
Santiago Texacuangos,59
San Juan Talpa,0
San Juan Opico,0
San Luis de la Reina,0
San Julián,0
San Lorenzo,0
San Luis Talpa,0
Salcoatitán,0
San Antonio,0
San Luis la Herradura,0
Sacacoyo,0
San Juan Nonualco,0
San Miguel,0
San Pablo Tacachico,0
San Pedro Masahuat,0
San Pedro Nonualco,0
San Pedro Perulapán,0
San Pedro Puxtla,0
San Matías,0
San José Guayabal,0
San José Villanueva,0
San Antonio Pajonal,0
San Antonio de la Cruz,0
San Antonio del Monte,0
San Alejo,0
San Carlos,0
San Cayetano Istepeque,0
San Cristóbal,0
San Emigdio,0
San Esteban Catarina,0
San Fernando,0
San Francisco Gotera,0
San Francisco Javier,0
San Francisco Menéndez,0
San Gerardo,0
San Ignacio,0
San Agustín,0
San Ildefonso,0
San Isidro,0
San Rafael Cedros,0
San Isidro Labrador,0
San Jorge,0
San José,0
San Rafael,0
San Vicente,0
San Rafael Oriente,0
Texistepeque,0
Suchitoto,0
Tacuba,0
Tapalhuaca,0
Tecapán,0
Tecoluca,0
Tejutepeque,0
Tejutla,0
Tenancingo,0
Teotepeque,0
Tepetitán,0
Torola,0
San Sebastián,0
Turín,0
Uluazapa,0
Usulután,0
Verapaz,0
Victoria,0
Yamabal,0
Yayantique,0
Yoloaiquín,0
Yucuaiquín,0
Zacatecoluca,0
Sonzacate,0
Sonsonate,0
Sociedad,0
Sesori,0
San Sebastián Salitrillo,0
San Simón,0
Puerto El Triunfo,0
Santa Ana,0
Santa Catarina Masahuat,0
Santa Cruz Analquito,0
Santa Cruz Michapa,0
Santa Elena,0
Santa María,0
Santa María Ostuma,0
Santa Rita,0
Santa Rosa Guachipilín,0
Santa Rosa de Lima,0
Santa Tecla,0
Santiago Nonualco,0
Santiago de María,0
Santiago de la Frontera,0
Santo Domingo,0
Santo Domingo de Guzmán,0
Sensembra,0
Sensuntepeque,0
Quezaltepeque,0
Acajutla,0
Potonico,0
Conchagua,0
Coatepeque,0
Cojutepeque,0
Colón,0
Comacarán,0
Comalapa,0
Comasagua,0
Concepción Batres,0
Concepción Quezaltepeque,0
Concepción de Ataco,0
Concepción de Oriente,0
Corinto,0
Ciudad Arce,0
Cuisnahuat,0
Delicias de Concepción,0
Dolores,0
Dulce Nombre de María,0
El Carmen,0
El Carrizal,0
El Congo,0
El Divisadero,0
El Paraíso,0
El Porvenir,0
Ciudad Barrios,0
Citalá,0
Polorós,0
Bolívar,0
Ahuachapán,0
Alegría,0
Anamorós,0
Antiguo Cuscatlán,0
Apaneca,0
Apastepeque,0
Arambala,0
Armenia,0
Atiquizaya,0
Berlín,0
Cacaopera,0
Cinquera,0
Candelaria,0
Candelaria de la Frontera,0
Carolina,0
Chalatenango,0
Chalchuapa,0
Chapeltique,0
Chilanga,0
Chiltiupán,0
Chinameca,0
Chirilagua,0
El Refugio,0
El Rosario,0
El Sauce,0
Nombre de Jesús,0
Lolotiquillo,0
Meanguera,0
Meanguera del Golfo,0
Mercedes La Ceiba,0
Mercedes Umaña,0
Metapán,0
Moncagua,0
Monte San Juan,0
Nahuilingo,0
Nahuizalco,0
Nueva Concepción,0
El Tránsito,0
Nueva Esparta,0
Nueva Guadalupe,0
Nuevo Edén de San Juan,0
Ojos de Agua,0
Olocuilta,0
Oratorio De Concepción,0
Oscicala,0
Agua Caliente,0
Pasaquina,0
Perquín,0
Lolotique,0
Lislique,0
Las Vueltas,0
La Unión,0
Estanzuelas,0
Guacotecti,0
Guadalupe,0
Gualococti,0
Guatajiagua,0
Guaymango,0
Ilobasco,0
Izalco,0
Jayaque,0
Jiquilisco,0
Jocoaitique,0
Jocoro,0
Juayúa,0
Jucuapa,0
Jucuarán,0
Jujutla,0
Jutiapa,0
La Laguna,0
La Libertad,0
La Palma,0
La Reina,0
Zaragoza,0
